ablation_variant,ci95_high_cadence_score,ci95_high_compression_score,ci95_high_cpr,ci95_high_duration_error_sec,ci95_high_duration_match_ratio,ci95_high_interval_score,ci95_high_longest_repeat_run,ci95_high_objective_score,ci95_high_pitch_diversity_score,ci95_high_psr,ci95_high_qualified_note_rate,ci95_high_qualified_rhythm_rate,ci95_high_repetition_score,ci95_high_rhythm_score,ci95_high_strong_beat_stable_rate,ci95_high_tonality_score,ci95_low_cadence_score,ci95_low_compression_score,ci95_low_cpr,ci95_low_duration_error_sec,ci95_low_duration_match_ratio,ci95_low_interval_score,ci95_low_longest_repeat_run,ci95_low_objective_score,ci95_low_pitch_diversity_score,ci95_low_psr,ci95_low_qualified_note_rate,ci95_low_qualified_rhythm_rate,ci95_low_repetition_score,ci95_low_rhythm_score,ci95_low_strong_beat_stable_rate,ci95_low_tonality_score,mean_cadence_score,mean_compression_score,mean_cpr,mean_duration_error_sec,mean_duration_match_ratio,mean_interval_score,mean_longest_repeat_run,mean_objective_score,mean_pitch_diversity_score,mean_psr,mean_qualified_note_rate,mean_qualified_rhythm_rate,mean_repetition_score,mean_rhythm_score,mean_strong_beat_stable_rate,mean_tonality_score,preset,rank,sample_count,variant_short
A6_full_controlled,0.997485,0.697367,0.138021,0.342808,0.938040,0.752522,1.780278,0.751915,0.673054,1.000000,0.878467,0.733903,0.740884,0.720865,0.672413,0.889251,0.993048,0.673712,0.123565,0.319553,0.933696,0.734894,1.710389,0.743523,0.645670,1.000000,0.854942,0.699641,0.710560,0.707813,0.628054,0.874416,0.995267,0.685540,0.130793,0.331181,0.935868,0.743708,1.745333,0.747719,0.659362,1.000000,0.866705,0.716772,0.725722,0.714339,0.650233,0.881833,pentatonic_low_temp_no_strongbeat,1,1500,A6
A6_full_controlled,0.997338,0.693937,0.156117,0.338289,0.938927,0.743839,1.894942,0.746642,0.669814,1.000000,0.875053,0.743793,0.700306,0.723394,0.713345,0.902907,0.993128,0.671021,0.141208,0.314845,0.934521,0.726846,1.821058,0.738084,0.641521,1.000000,0.851527,0.710001,0.668658,0.710384,0.670693,0.888595,0.995233,0.682479,0.148662,0.326567,0.936724,0.735342,1.858000,0.742363,0.655668,1.000000,0.863290,0.726897,0.684482,0.716889,0.692019,0.895751,pentatonic_conservative,2,1500,A6
A6_full_controlled,0.997256,0.696077,0.144110,0.329715,0.940153,0.727844,1.833832,0.746120,0.658977,1.000000,0.886494,0.728565,0.724933,0.724721,0.707787,0.900975,0.992811,0.671901,0.129838,0.306723,0.935794,0.710489,1.764835,0.737897,0.630706,1.000000,0.865662,0.695714,0.694470,0.712313,0.664679,0.886537,0.995033,0.683989,0.136974,0.318219,0.937974,0.719167,1.799333,0.742009,0.644842,1.000000,0.876078,0.712139,0.709701,0.718517,0.686233,0.893756,pentatonic_balanced,3,1500,A6
A6_full_controlled,0.997060,0.709886,0.135543,0.329253,0.940197,0.643250,1.799248,0.736983,0.670109,1.000000,0.879968,0.735773,0.741810,0.728143,0.704129,0.899664,0.992540,0.685238,0.121631,0.306298,0.935829,0.622560,1.730086,0.728471,0.642778,1.000000,0.859357,0.705885,0.712241,0.716713,0.660893,0.885210,0.994800,0.697562,0.128587,0.317775,0.938013,0.632905,1.764667,0.732727,0.656443,1.000000,0.869663,0.720829,0.727025,0.722428,0.682511,0.892437,pentatonic_creative,4,1500,A6
A6_full_controlled,0.998479,0.691097,0.148813,0.338240,0.938523,0.649849,1.834204,0.728439,0.632256,1.000000,0.885208,0.741918,0.719179,0.728829,0.718791,0.905152,0.994854,0.666130,0.133635,0.314927,0.934087,0.625400,1.763129,0.719214,0.602985,1.000000,0.864467,0.710804,0.687979,0.717040,0.676060,0.890909,0.996667,0.678614,0.141224,0.326583,0.936305,0.637625,1.798667,0.723827,0.617620,1.000000,0.874838,0.726361,0.703579,0.722934,0.697425,0.898031,pentatonic_no_theory,5,1500,A6
A5_style_constraint,0.740349,0.692605,0.141899,0.794998,0.850973,0.706668,1.709441,0.719840,0.633380,1.000000,0.869697,0.715011,0.742056,0.732361,0.669631,0.800801,0.718451,0.667599,0.126021,0.730434,0.837431,0.679067,1.641226,0.709865,0.604552,1.000000,0.842379,0.678544,0.710244,0.717502,0.625223,0.783750,0.729400,0.680102,0.133960,0.762716,0.844202,0.692868,1.675333,0.714853,0.618966,1.000000,0.856038,0.696778,0.726150,0.724932,0.647427,0.792276,pentatonic_low_temp_no_strongbeat,6,1500,A5
A5_style_constraint,0.742277,0.686450,0.143220,0.803105,0.849547,0.701169,1.741397,0.717352,0.629577,1.000000,0.870362,0.721006,0.732272,0.734494,0.678468,0.804377,0.720056,0.661954,0.127914,0.737316,0.835750,0.673439,1.670603,0.707351,0.600246,1.000000,0.843150,0.685045,0.700368,0.719749,0.634468,0.787379,0.731167,0.674202,0.135567,0.770211,0.842649,0.687304,1.706000,0.712351,0.614912,1.000000,0.856756,0.703025,0.716320,0.727122,0.656468,0.795878,pentatonic_conservative,7,1500,A5
A5_style_constraint,0.743375,0.682913,0.139658,0.781112,0.854050,0.689465,1.706295,0.716801,0.620504,1.000000,0.885896,0.705205,0.745064,0.737135,0.683890,0.806439,0.721225,0.656668,0.124154,0.715505,0.840306,0.662840,1.640371,0.706767,0.590700,1.000000,0.862315,0.669971,0.714156,0.722827,0.640033,0.789735,0.732300,0.669790,0.131906,0.748309,0.847178,0.676152,1.673333,0.711784,0.605602,1.000000,0.874105,0.687588,0.729610,0.729981,0.661961,0.798087,pentatonic_balanced,8,1500,A5
A5_style_constraint,0.743386,0.687476,0.141598,0.805745,0.849188,0.664690,1.713844,0.714398,0.624027,1.000000,0.872867,0.726185,0.744219,0.740206,0.690801,0.808959,0.721214,0.660496,0.125125,0.738539,0.835104,0.638705,1.646156,0.704315,0.594853,1.000000,0.849122,0.693336,0.712854,0.726422,0.647383,0.791969,0.732300,0.673986,0.133361,0.772142,0.842146,0.651698,1.680000,0.709357,0.609440,1.000000,0.860995,0.709760,0.728537,0.733314,0.669092,0.800464,pentatonic_no_theory,9,1500,A5
A5_style_constraint,0.740486,0.694185,0.130300,0.801971,0.850303,0.636581,1.688742,0.711920,0.627740,1.000000,0.872521,0.713008,0.766572,0.739315,0.665114,0.799261,0.718047,0.667342,0.114865,0.732856,0.835825,0.611525,1.624591,0.702152,0.598372,1.000000,0.849263,0.680923,0.737359,0.725910,0.620864,0.782243,0.729267,0.680763,0.122583,0.767413,0.843064,0.624053,1.656667,0.707036,0.613056,1.000000,0.860892,0.696965,0.751966,0.732612,0.642989,0.790752,pentatonic_creative,10,1500,A5
