reason,call_id,origin,source_dataset,category,sub_category,preset,candidate,trial,seed,objective_score,duration_match_ratio,note_count,response_midi_path
bottom_5pct_objective_score,P039,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_no_theory,amt_small_raw,12,79272910,0.370119,0.854701,48.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_no_theory\responses\S2914_response_only.mid
bottom_5pct_objective_score,P031,public_midi_extract,POP909,sparse_short,two_bar_pop909_melody,pentatonic_creative_wide,amt_small_raw,10,111270868,0.371382,0.900000,53.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_creative_wide\responses\S953_response_only.mid
bottom_5pct_objective_score,P007,public_midi_extract,POP909,clear_motif_melody,two_bar_pop909_melody,pentatonic_no_theory,amt_small_raw,10,47270796,0.391996,0.937500,32.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_no_theory\responses\S2517_response_only.mid
bottom_5pct_objective_score,A04,artificial_stress,calls_50,antecedent_half_cadence,copied_from_call50,pentatonic_no_theory,amt_small_raw,3,34263694,0.395931,0.975208,13.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_no_theory\responses\S2007_response_only.mid
bottom_5pct_objective_score,P011,public_midi_extract,POP909,clear_motif_melody,two_bar_pop909_melody,pentatonic_balanced,amt_small_raw,9,61269799,0.396044,0.843882,36.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_balanced\responses\S2210_response_only.mid
bottom_5pct_objective_score,P018,public_midi_extract,POP909,expressive_rubato,two_bar_pop909_bridge,pentatonic_creative_wide,amt_small_raw,8,98268811,0.398133,0.898876,13.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_creative_wide\responses\S4464_response_only.mid
bottom_5pct_objective_score,P047,public_midi_extract,POP909,false_ending_pause,two_bar_pop909_melody,pentatonic_no_theory,amt_small_raw,12,87272934,0.399214,0.832500,36.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_no_theory\responses\S4282_response_only.mid
bottom_5pct_objective_score,P039,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,amt_small_raw,13,129273919,0.400755,0.900901,16.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_low_temp_no_strongbeat\responses\S1705_response_only.mid
bottom_5pct_objective_score,P047,public_midi_extract,POP909,false_ending_pause,two_bar_pop909_melody,pentatonic_no_theory,amt_small_raw,5,87265871,0.406493,0.910000,47.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_no_theory\responses\S2339_response_only.mid
bottom_5pct_objective_score,R39,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_creative_wide,amt_small_raw,12,169273060,0.408409,0.860215,43.000000,D:\Mickey\MFP\ab_tests\objective_search_call100_trials15\pentatonic_creative_wide\responses\S3387_response_only.mid
