category,sample_count,mean_objective_score,ci95_low_objective_score,ci95_high_objective_score,median_objective_score,std_objective_score,mean_tonality_score,mean_rhythm_score,mean_interval_score,mean_repetition_score,mean_pitch_diversity_score,mean_compression_score,mean_pche,mean_upc,mean_psr,mean_tone_span_ratio,mean_cpr,mean_qualified_note_rate,mean_qualified_rhythm_rate,mean_groove_similarity,mean_cadence_score,mean_max_abs_interval,mean_note_count,mean_duration_match_ratio,rank
pentatonic_clear_motif,270,0.787362,0.777439,0.797285,0.813702,0.083189,0.918519,0.641040,0.841050,0.812750,0.735887,0.726263,2.081070,4.666667,1.000000,0.058020,0.077140,0.896288,0.493500,0.533333,0.953704,7.348148,12.844444,0.903634,1
modal_question,270,0.787159,0.778863,0.795455,0.802359,0.069550,0.955370,0.558563,0.759116,0.903428,0.735871,0.810536,2.045695,4.600000,1.000000,0.091505,0.044706,0.872882,0.207204,0.595602,0.943889,8.329630,10.825926,0.917752,2
syncopation,270,0.768083,0.756293,0.779874,0.802485,0.098848,0.815926,0.785961,0.849691,0.705394,0.677448,0.707373,2.038522,4.566667,1.000000,0.048559,0.139054,0.974368,0.852150,0.531366,0.949630,6.522222,11.911111,0.944426,3
blues_chromatic,270,0.760025,0.751561,0.768489,0.773033,0.070954,0.830638,0.772603,0.773584,0.701739,0.794325,0.600354,2.034991,4.707407,1.000000,0.081705,0.126995,0.959220,0.742037,0.616551,0.924630,8.633333,14.674074,0.919083,4
large_leap_gap_fill,270,0.748455,0.740662,0.756247,0.769495,0.065330,0.945679,0.430103,0.661780,0.954316,0.747577,0.779129,2.054821,4.603704,1.000000,0.119028,0.019145,0.839945,0.024321,0.426042,0.944444,8.885185,11.333333,0.929015,5
arched_contour,270,0.745330,0.734845,0.755815,0.758351,0.087904,0.874671,0.563542,0.703368,0.882509,0.665948,0.791536,1.963090,4.333333,1.000000,0.086505,0.059317,0.751453,0.302830,0.636343,0.951481,8.577778,10.851852,0.933613,6
dense_motion,270,0.743019,0.732757,0.753280,0.766420,0.086029,0.796502,0.811523,0.848847,0.739427,0.707381,0.353495,2.071860,4.637037,1.000000,0.045536,0.110451,0.985046,0.978342,0.471181,0.931481,7.007407,16.625926,0.920806,7
real_two_bar_monophonic_major_minor,10800,0.739413,0.737675,0.741150,0.751476,0.092139,0.901665,0.799102,0.742581,0.587653,0.637626,0.642694,1.865803,4.252778,1.000000,0.078822,0.191566,0.903900,0.914212,0.579196,0.948569,8.417593,14.057130,0.905514,8
repetition_tail,810,0.734664,0.728361,0.740966,0.744780,0.091514,0.893038,0.778469,0.716665,0.660189,0.560300,0.694295,1.804034,3.975309,1.000000,0.093911,0.157173,0.936464,0.746126,0.652816,0.936852,7.888889,13.434568,0.891860,9
clear_motif_melody,3240,0.734141,0.730869,0.737414,0.741513,0.095036,0.876656,0.714040,0.712589,0.635130,0.662676,0.758074,1.889637,4.298457,1.000000,0.107092,0.176723,0.818617,0.724660,0.598843,0.941019,9.451543,11.927469,0.897035,10
chord_arpeggio_polyphonic,2160,0.730713,0.728419,0.733008,0.735005,0.054407,0.894491,0.703974,0.494357,0.888898,0.775966,0.532876,2.038123,4.666667,1.000000,0.212571,0.049914,0.924933,0.587003,0.599986,0.915023,13.808796,19.851852,0.884093,11
chromatic_outside,1350,0.720605,0.716452,0.724757,0.733355,0.077842,0.902490,0.708278,0.510099,0.844812,0.698639,0.556040,1.938642,4.433333,1.000000,0.217430,0.072217,0.865761,0.665046,0.594028,0.954889,13.328148,17.473333,0.889985,12
dense_fast,1350,0.719347,0.715173,0.723521,0.725596,0.078240,0.948909,0.691899,0.669419,0.830971,0.739153,0.152750,2.118488,4.821481,1.000000,0.204918,0.077979,0.770324,0.751090,0.554282,0.960963,17.648148,27.703704,0.834397,13
repetition_stress_test,270,0.714909,0.704776,0.725043,0.724414,0.084951,0.853977,0.740150,0.758662,0.499966,0.609799,0.770789,1.859244,4.225926,1.000000,0.089602,0.250917,0.969733,0.632892,0.617824,0.940370,7.592593,10.874074,0.926425,14
antecedent_half_cadence,270,0.708207,0.697886,0.718529,0.721047,0.086533,0.896605,0.486436,0.702986,0.807231,0.549514,0.810408,1.812251,3.985185,1.000000,0.116215,0.090556,0.667248,0.200624,0.591435,0.955556,8.440741,8.781481,0.944694,15
false_ending_pause,1080,0.707781,0.701523,0.714040,0.720943,0.104939,0.927377,0.709314,0.667512,0.624033,0.537533,0.666437,1.728653,3.912963,1.000000,0.132173,0.204694,0.671113,0.775375,0.681453,0.942083,10.053704,10.584259,0.857310,16
expressive_rubato,2160,0.691445,0.687859,0.695031,0.693284,0.085030,0.885053,0.706746,0.424107,0.874430,0.645995,0.486970,1.906048,4.309259,1.000000,0.322739,0.055043,0.751958,0.714808,0.653472,0.945255,14.023611,17.216204,0.873988,17
sparse_short,1350,0.667246,0.662650,0.671841,0.671278,0.086155,0.935109,0.779329,0.542347,0.806065,0.377409,0.262258,1.565943,3.397778,1.000000,0.136456,0.096970,0.939679,0.666432,0.731875,0.932037,9.966667,9.408148,0.833162,18
sparse_cadential,270,0.665250,0.654569,0.675932,0.661915,0.089547,0.923245,0.664369,0.603656,0.641819,0.416328,0.596278,1.591780,3.533333,1.000000,0.169975,0.192281,0.720541,0.551153,0.721412,0.960370,9.974074,8.385185,0.865878,19
